The Backyard Blacksmith	9780785825678	The Backyard Blacksmith shows you how -- with some patience and a working knowledge of metals, basic tools, and techniques -- blacksmithing can be easy to learn, and a rewarding hobby. Through instructions and illustrations, readers will learn to make simple tools and useful items, such as nails, hinges, and handles, and also an interesting mix of artful projects, such letter openers, door knockers and botanical ornaments. Written by an expert in blacksmith and metal artist, this book provides readers with a basic understanding of blacksmithing, including an explanation of tools like an anvil, an anvil stand, hammers, and tongs. Heating techniques like coal forging and fire tending are explained in detail, along with different types of metal like wrought iron, cast iron, and steel.
The Complete Modern Blacksmith	9780898158960	A truly unusual and unique resource, this extremely hands-on book brings together three popular but long-out-of-print classics (THE MODERN BLACKSMITH; THE RECYCLING, USE, AND REPAIR OF TOOLS; and THE MAKING OF TOOLS) essential for anyone interested in the making, repair, maintenance, or arcana of tools. An essential volume in any serious craftperson's library, this book covers setting up a smithy (anvil, forge, hammer, tongs, and all), and manufacturing everything from stone-carving chisels to decorative wall hooks.
New Edge of the Anvil: A Resource Book for the Blacksmith	9781879535091	The tenet of this book is provide a tool for artists/blacksmiths and metalworkers. It tells how to work metal: heating it, cutting it, upsetting it, drawing it out, twisting it, forge welding it and shaping and assembling it. It tells about metallurgy and tool making, metal finishes and corrosion, sources of information and supplies, charts and guidelines for many tasks. It explains the process of design, how to use the computer in metal design, how to set up a business and how to manage it.
Camp-Lore and Woodcraft	9780486447278	Known to millions of Boy Scouts as "Uncle Dan," Daniel Beard was also a Progressive-era reformer, a naturalist, illustrator, and author. Among his many "how-to" books is this entertaining collection of camp lore and practical notes on woodcrafting.
Wildwood Wisdom	9780936070124	This historical guide, originally written in 1945, includes information on making fires, canoeing, using axes and knives, and crafting shelters from hand-gathered materials. Readers also learn about clothing, gear, and useful plants. This book also is an account of life in the 1800s, when survival in the wild depended on one's skill and ingenuity.
Shelters, Shacks, and Shanties: The Classic Guide to Building Wilderness shelters	9780486437477	This excellent hands-on guide by one of the founders of the Boy Scouts of America contains a wealth of practical instruction and advice on how to build everything from a bark teepee and a tree-top house to a log cabin and a sod house. No professional architects are needed here; and knowing how to use an axe is more important than possessing carpentry skills.
How to Build and Furnish a Log Cabin: The easy, natural way using only hand tools and the woods around you	9780020016700	W. Ben Hunt's classic has earned a reputation as the" authentic handbook since it was first published in 1939. Updated in 1974, it remains the only step-by-step guide to building log cabins and log furniture -- pioneer style."
Rustic Construction	9780914875475	Originally published nearly 60 years ago, Rustic Construction has never been out of print and continues to be a vital resource for artisans and craftsmen who enjoy building with materials from field and forest. Updated and enlarged, this edition includes current references for books, other publications, shop plans, and equipment.
Mini Farming: Self-Sufficiency on 1/4 Acre	9781602399846	Mini Farming describes a holistic approach to small-area farming that will show you how to produce 85 percent of an average family’s food on just a quarter acre—and earn $10,000 in cash annually while spending less than half the time that an ordinary job would require. Even if you have never been a farmer or a gardener, this book covers everything you need to know to get started: buying and saving seeds, starting seedlings, establishing raised beds, soil fertility practices, composting, dealing with pest and disease problems, crop rotation, farm planning, and much more. Because self-sufﬁciency is the objective, subjects such as raising backyard chickens and home canning are also covered along with numerous methods for keeping costs down and production high.
Back to Basics: A Complete Guide to Traditional Skills	9781602392335	Anyone who wants to learn basic living skills—the kind employed by our forefathers—and adapt them for a better life in the twenty-first century need look no further than this eminently useful, full-color guide. Countless readers have turned to Back to Basics for inspiration and instruction, escaping to an era before power saws and fast food restaurants and rediscovering the pleasures and challenges of a healthier, greener, and more self-sufficient lifestyle.
The Encyclopedia of Country Living	9781570618406	The bestselling resource for modern homesteading, growing and preserving foods, and raising chickens, The Encyclopedia of Country Living includes how to cultivate a garden, buy land, bake bread, raise farm animals, make sausage, can peaches, milk a goat, grow herbs, churn butter, build a chicken coop, catch a pig, cook on a wood stove, and much, much more. This comprehensive resource is the most authoritative guide available to a sustainable lifestyle and living off of the land.
Basic Butchering of Livestock & Game	9780882663913	This is the book for anyone who hunts, farms, or buys large quantities of meat. The author takes the mystery out of slaughtering and butchering everything from beef and veal, to venison, pork, and lamb. The text is clear and easy-to-follow. Combined with 130 detailed illustrations by Elayne Sears, the reader is provided with complete, step-by-step instructions.
A Guide to Canning, Freezing, Curing & Smoking Meat, Fish & Game	9781580174572	This no-nonsense guide to canning, freezing, curing, and smoking meat, fish, and game is written in down-to-earth, informative, everyday language. The third edition of this perennial bestseller is completely revised and updated to comply with the latest USDA health and safety guidelines. Includes dozens of delicious recipes for homemade Beef Jerky, Pemmican, Venison Mincemeat, Corned Beef, Gepockelete (German-style cured pork), Bacon, Canadian Bacon, Smoked Sausage, Liverwurst, Bologna, Pepperoni, Fish Chowder, Cured Turkey, and a variety of hams.
Making Cheese, Butter & Yogurt	9781580178792	Since 1973, Storey's Country Wisdom Bulletins have offered practical, hands-on instructions designed to help readers master dozens of country living skills quickly and easily. There are now more than 170 titles in this series, and their remarkable popularity reflects the common desire of country and city dwellers alike to cultivate personal independence in everyday life.
